/m/014j1m,Apple
/m/047v4b,Artichoke
/m/01fb_0,Bagel
/m/09qck,Banana
/m/01599,Beer
/m/09728,Bread
/m/0hkxq,Broccoli
/m/0fbw6,Cabbage
/m/0gm28,Candy
/m/0kpt_,Cantaloupe
/m/0fj52s,Carrot
/m/01nkt,Cheese
/m/09b5t,Chicken
/m/024g6,Cocktail
/m/0djtd,Coconut
/m/02vqfm,Coffee
/m/021mn,Cookie
/m/08p92x,Cream
/m/015x4r,Cucumber
/m/0270h,Dessert
/m/0jy4k,Doughnut
/m/0271t,Drink
/m/02wbm,Food
/m/0388q,Grape
/m/0h8jyh6,Grinder
/m/0cdn1,Hamburger
/m/01z1kdw,Juice
/m/09k_b,Lemon
/m/0cjq5,Lobster
/m/0fldg,Mango
/m/04zpv,Milk
/m/063rgb,Mixer
/m/01tcjp,Muffin
/m/052sf,Mushroom
/m/0cyhj_,Orange
/m/01dwwc,Pancake
/m/05z55,Pasta
/m/0hnyx,Pastry
/m/061_f,Pear
/m/0fp6w,Pineapple
/m/0663v,Pizza
/m/0jwn_,Pomegranate
/m/01hrv5,Popcorn
/m/05vtc,Potato
/m/01f91_,Pretzel
/m/05zsy,Pumpkin
/m/015x5n,Radish
/m/06m11,Rose
/m/0grw1,Salad
/m/0l515,Sandwich
/m/06nwz,Seafood
/m/0fbdv,Shellfish
/m/01ww8y,Snack
/m/09gys,Squid
/m/07fbm7,Strawberry
/m/07clx,Tea
/m/07j87,Tomato
/m/0f4s2w,Vegetable
/m/01dwsz,Waffle
/m/0kpqd,Watermelon
/m/081qc,Wine
/m/027pcv,Zucchini
